timestamp,object_id,confidence,classification,result
2026-08-01 12:38:53,41,1.00,BASE,PASSED THROUGH
2026-08-01 12:39:02,42,1.00,BASE,PASSED THROUGH
2026-08-01 12:39:14,43,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 12:39:21,44,1.00,LID,DIVERTED
2026-08-01 12:39:30,45,1.00,BASE,PASSED THROUGH
2026-08-01 12:39:39,46,1.00,LID,DIVERTED
2026-08-01 12:39:49,47,1.00,BASE,PASSED THROUGH
2026-08-01 12:40:01,48,1.00,BASE,PASSED THROUGH
2026-08-01 12:40:12,49,1.00,BASE,PASSED THROUGH
2026-08-01 12:40:19,50,1.00,LID,DIVERTED
2026-08-01 12:40:29,51,1.00,BASE,PASSED THROUGH
2026-08-01 12:40:38,52,1.00,BASE,PASSED THROUGH
2026-08-01 12:40:48,53,1.00,LID,DIVERTED
2026-08-01 12:41:00,54,1.00,BASE,PASSED THROUGH
2026-08-01 12:41:08,55,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 12:41:17,56,1.00,LID,DIVERTED
2026-08-01 12:41:27,57,1.00,BASE,PASSED THROUGH
2026-08-01 12:41:38,58,1.00,LID,DIVERTED
2026-08-01 12:41:46,59,1.00,BASE,PASSED THROUGH
2026-08-01 12:41:55,60,1.00,LID,DIVERTED
2026-08-01 12:42:06,61,1.00,BASE,PASSED THROUGH
2026-08-01 12:42:17,62,1.00,LID,DIVERTED
2026-08-01 12:42:29,63,1.00,LID,DIVERTED
2026-08-01 12:42:41,64,1.00,LID,DIVERTED
2026-08-01 12:42:50,65,1.00,BASE,PASSED THROUGH
2026-08-01 12:42:57,66,1.00,LID,DIVERTED
2026-08-01 12:43:08,67,1.00,BASE,PASSED THROUGH
2026-08-01 12:43:18,68,1.00,BASE,PASSED THROUGH
2026-08-01 12:43:30,69,1.00,LID,DIVERTED
2026-08-01 12:43:37,70,1.00,BASE,PASSED THROUGH
2026-08-01 12:43:45,71,1.00,BASE,PASSED THROUGH
2026-08-01 12:43:57,72,1.00,BASE,PASSED THROUGH
2026-08-01 12:44:06,73,1.00,LID,DIVERTED
2026-08-01 12:44:14,74,1.00,BASE,PASSED THROUGH
2026-08-01 12:44:21,75,1.00,LID,DIVERTED
2026-08-01 12:44:30,76,1.00,LID,DIVERTED
2026-08-01 12:44:40,77,1.00,BASE,PASSED THROUGH
2026-08-01 12:44:48,78,1.00,BASE,PASSED THROUGH
2026-08-01 12:45:00,79,1.00,BASE,PASSED THROUGH
2026-08-01 12:45:09,80,1.00,BASE,PASSED THROUGH
2026-08-01 12:45:18,81,1.00,BASE,PASSED THROUGH
2026-08-01 12:45:29,82,1.00,LID,DIVERTED
